Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" Welcome home to this stunning 3 bed, 2 bath, newer construction penthouse in hot Avondale! Enjoy your own 1,000 square foot private rooftop deck with skyline views! Only 2.5 years old with high end finishes and a huge open floor-plan perfect for entertaining with an extra large balcony off the living room. Kitchen has top of the line appliances, under cabinet lighting, calacatta quartz countertops and wine fridge. Huge dining area, beautiful hardwood floors throughout, extra tall ceilings, abundant closet space, gas fireplace, great sized bedrooms and a skyline view from almost every window! Stunning master bathroom with large rain shower, shower bench and double sinks. $14K rooftop deck build out with 100% maintenance free porcelain tiles. Custom blinds in all bedrooms and custom shelving in laundry room. One garage space is included in the purchase price and an additional exterior parking space is available for $15K. Additional large storage unit included. So close to everything! Seconds away from Kumas Corner, Brands Park, Honey Butter Fried Chicken, Revolution Brewery, Jewel, XSport, Parachute, Home Depot and so much more! 6 blocks from the Belmont Blue line, steps from many bus options and a 2 min drive to the highway! This home is a true stunner! ","$499,000 ",,-87.700096,41.939644,3,2,2017," 2854 W Belmont Ave #3W Chicago, IL 60618 ",Chicago,IL,60618
" Ranch style west facing home with large fenced yard, big Tiny House shed with a loft, washer & dryer, plenty of parking, and no carpet. There is plenty of room here for the kids to play in the yard. There is even room for some gardening boxes. Awesome artic entry to organize the coats, boots, hats and gloves. And there is a gas cook top! Home warranty included. ","$259,000 ","1,093 sqft",-149.9592,61.158127,3,1,1962," 6911 Terry St Anchorage, AK 99502 ",Anchorage,AK,99502
" GREAT MULTI GENERATIONAL HOME!!! Or turnkey investment sold fully occupied. Two homes on lot, front home is 1/1, with an updated bathroom and kitchen, great layout with a front porch. Back home is 2 bedroom 1 bathroom, with one master size suite and a den off of the second bedroom, could be a 3rd bedroom great layout!! ","$150,000 ",977 sqft,-110.96455,32.196285,3,2,1959," 326 E 32nd St Tucson, AZ 85713 ",Tucson,AZ,85713
" 95-24 and 95 - 28, 147th PLACE , JAMAICA NY 11435 TWO PROPERTIES SIDE BY SIDE DEVELOPMENT OPPORTUNITY LOT SIZE : 50 X 100 FT BS : 17 X 36 FT EACH PROPERTY ZONING : C4 - 5 X / DJ YB : 1920 NOTE HAS PRELIMINARY APPROVAL FOR 10 FLOORS BUILD ABLE : 37,000 SQFT PRICE : $5.2 MILLION ( ALL CASH DEAL ) ","$5,200,000 ",,-73.80552,40.697933,,1,1920," 9524 147th Pl #95-28 Jamaica, NY 11435 ",Jamaica,NY,11435
" Beautiful home located on a quiet cul-de-sec in Northwest Suburban and zoned for desirable schools. This charming two-story home features 3 bedroom,living room/family room, 2.5 bathroom, 2 car garage. You love all that this home has to offer! Newer roof, Gorgeous newer wooden flooring throughout the lower living and family rooms and stairs to upper walking-way.The kitchen has been redone with paint cabinets,tiles floor, granite counters and all bath rooms.Seller is a Licensed Nevada State Real Estate Agent. ","$435,000 ","1,947 sqft",-119.869995,39.53872,3,3,1987," 2322 Cordilla Ct Reno, NV 89523 ",Reno,NV,89523
" Come and see this versatile home with approximately 2964 square feet. Make it your own with room for everyone and guest area too. Relax on patio overlooking beautiful backyard with landscaping. Much of the furniture can be purchased from the owner. Sprinkler system front and back, wired for security, and fire. Landscaping with French drains in back. Swimming and fishing are available in Belvedere Cove! Stunning master suite on main level! Awesome Family room w/ breathtaking fireplace! Gourmet Kitchen with miles of Granite & Tons of Workspace! Huge Bonus room upstairs can be 5th bedroom! Nestled on quite Cul De Sac! Better Hurry ","$319,900 ","2,864 sqft",-86.626076,33.416283,4,3,2006," 3017 Belvedere Ln Birmingham, AL 35242 ",Birmingham,AL,35242
" LOCATION! LOCATION! Investor Special- this 2 bed, 1 bath home is located in highly desirable Historical Tobin Hill. Close to major highways, hospitals, San Antonio College, Pearl Brewery, and multiple downtown restaurants/entertaining! Fantastic investment opportunity. Bring your offer! ","$200,000 ",864 sqft,-98.48699,29.442795,2,1,1940," 706 Evergreen Ct San Antonio, TX 78212 ",San Antonio,TX,78212
" You Won't Find A Better Home For The Price. Pretty Close To Being A New Home - Everything New! Open Floorplan With 3bd 2ba Including A Master Suite. New Roof, Windows, Flooring, Walls, Paint, Hvac, Water Heater, Plumbing, Electric, Siding, Gutters, Garage Door, The List Goes On And On! ","$105,000 ",810 sqft,-86.087715,39.79021,3,2,1953," 1707 N Dequincy St Indianapolis, IN 46218 ",Indianapolis,IN,46218
" Location, Location, Location! Great Investment Property. 1.26 Acre in Moore school district. Potential Commercial. ","$1,100,000 ","2,302 sqft",-97.52934,35.303833,3,2,1950," 16608 S Western Ave Oklahoma City, OK 73170 ",Oklahoma City,OK,73170
" Now offering this well-maintained craftsman built gem situated just a block off Woodward Avenue in the North End. With well over 2000 sq/ft of living space on the ground floor, this 3bed/1.5bath home offers stunning wood floors throughout, original wood trim and a flowing floor plan which is as unique as the home itself. With high ceilings, a gorgeous wood burning fireplace and recent updates to the electrical system this is move-in ready! Being a full 2 stories, the upstairs is open and finished in tongue and groove offering limitless potential with regards to use, including artist space, office space or both! The sprawling full basement offers multiple rooms, work areas and boundless space for storage/work! This home will cater to large families as well be a perfect set up for airbnb, with its prime location and proximity to public transportation, Wayne State University and a short drive to downtown Detroit! Land Contract Terms are available. Property is also available for Lease. ","$135,000 ","2,146 sqft",-83.08986,42.38774,3,2,1917," 645 Calvert St Detroit, MI 48202 ",Detroit,MI,48202
" This 3-bedroom, 2 bath, zero entry, open floorplan home offers all the upgrades you desire! The over-sized granite kitchen peninsula features eating bar, a multitude of beautiful maple cabinets on both sides with soft-close drawers and pull-out shelving. The kitchen also boasts a large pantry and newer stainless appliances that will remain with the home. Maintenance is easy with the high-end, scratch resistant laminate floors that grace all 1562 square feet. The spacious master suite boasts a large window, awesome master bath with double sinks, granite counters and large shower. The spacious closet features built-ins and is a full cement SAFE ROOM! The sliding door off the dining area leads to the beautiful covered patio and the lush, wrought ironed fenced rear yard. There are upgrades and details you don't want to miss: The paneled interior doors; the custom, beveled glass front door; the beautiful crown moldings; upgraded fixtures and luxury cabinet pulls. Too much to list!!! Come take a look and be impressed!!! ","$224,900 ","1,468 sqft",-97.18598,37.669273,3,2,2014," 1334 S Rocky Creek Rd Wichita, KS 67230 ",Wichita,KS,67230
" HOT Deal Alert: This property deal has a high potential return. Make sure you strike while it's HOT so you don't miss your chance at a high potential ROI. The potential return is based on the estimated resale value and estimated credit bid for the property, and doesn't consider any repair, legal or transaction costs due to the current condition of the property. This property is being offered at Public Auction on 02-04-2020. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 483 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 41 properties scheduled for sale in Harris County and 854 throughout Texas. All properties and sale details can be found with a simple search at Auction.com. Create a free account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2799851 into the search bar at Auction.com. ","$227,807 ","2,802 sqft",-95.61878,29.93043,4,3,1991," 13207 Aspen Bough Cir Houston, TX 77065 ",Houston,TX,77065
" This awesome 3 bedroom, 2 bath is located on the edge of Village One and features a Great Room concept with fireplace, large eat-in kitchen, carpet and laminate flooring, downstairs Master Suite, 2 bedrooms and a full bath upstairs and nice-size backyard with 2 covered patio areas, all located in the highly sought-after Sylvan School District and close to the new Save Mart superstore shopping center, schools, restaurants, parks and public transportation. ","$329,950 ","1,396 sqft",-120.9549,37.67638,3,2,1988," 2324 Quail Meadow Dr Modesto, CA 95355 ",Modesto,CA,95355
" Brand new home in Cadence master plan! 3 bedroom, 2.5 bath plus a loft and covered patio with designer selected features and finishes throughout. Plus it is located on a corner home site at the end of the street! ","$365,425 ","1,979 sqft",-114.96482,36.126682,3,2.5,," Cultures St Henderson, NV 89011 ",Henderson,NV,89011
" Lovingly cared for by original owner,this charming ALL BRICK RANCH is one not to miss!Wonderful open design w/spacious living rm. & Formal DR with BICC!Love the sunny KIT/Dinette w/oak cabinets,neutral counters & flooring, peninsula counter & appliances included. Rear hall closet makes a great walk-in pantry or 1st floor laundry.Rare find MBR suite w/private full BA:Tiled shower, vanity.Secondary BRS & full BA complete the main level.Retreat to the expansive Rec Rm.~A great space for parties,game /play rm.,office & more!Workshop with cabinets & storage is a bonus!Per seller: New garage floor,windows replaced, newer furnace & roof (tear-off).Well appointed on a large lot,in a terrific cul-de-sac locale!1 YR Home Warranty included!Sparkling clean & an outstanding value.You're Home! ","$194,250 ","1,845 sqft",-87.9512,42.943268,3,2,1966," 2912 W Wanda Ave Milwaukee, WI 53221 ",Milwaukee,WI,53221
" This well maintained Flour Bluff home is literally walking distance to FBISD & close to NAS & some of the best fishing around. Boasting new roof, septic, ac, & appliances it exactly what every buyer needs at a affordable price. Situated on almost a half acre of land there is plenty of room for children & pets to play. Three bedrooms with nice size closet space, one finished out bathroom & a second bathroom that can easily be finished out to make it a full two bathrooms. Kitchen features a nice size space for cooking & with new appliances including the stainless steel fridge every cook will love entertaining for family and friends. Large dining & living area & master suite is located on its own wing of the house for maximum privacy. Enclosed laundry room/patio & nice covered back porch to enjoy the nice coastal breezes & relax after a long day. Property could potentially be re-zoned commercial if someone wanted to make it into a business instead of a personal home. ","$169,900 ","1,632 sqft",-97.30044,27.63881,3,2,2000," 2929 Waldron Rd Corpus Christi, TX 78418 ",Corpus Christi,TX,78418
 Attn Investors!! Great Income potential! Home can be sold individually or as a part of a bulk sale. Currently rented properties in Detroit. No showings until after accepted offer per the MLS. Drive by only. DO NOT disturb tenants. Access will be provided after acceptance. Buyer to pay $395 to REMAX First. No Exceptions. ,"$45,000 ","1,445 sqft",-82.986755,42.441566,,2,1925," 13445 Tacoma St Detroit, MI 48205 ",Detroit,MI,48205
" Fully renovated with 2,700+ sq ft of living space. Open main level is an entertainer's dream with wood floors, recessed lighting, and a chef's kitchen. Large bedrooms on second floor including a master suite with his and her closets and en suite with double bowl sinks. 600 sq ft attic space that can be used for storage or finished for additional living area. Finished basement includes a family room and 4th bedroom. Main level laundry. Convenient location with easy access to MARC train, 695, and 95. Schedule your showing before its too late! Fridge on back order but will be installed prior to settlement. ","$334,900 ","2,760 sqft",-76.69627,39.251217,3,4,1924," 1265 Stevens Ave Baltimore, MD 21227 ",Baltimore,MD,21227
" Great opportunity for a home buyer that would love to renovate this 3 bedroom 2 bath and make it their own! All the character and charm to come home to, with a spacious floor plan, bedrooms, and a garage conversion. Schedule your showing today! ","$160,000 ","2,527 sqft",-101.80516,33.37663,3,2,1955," 14104 US Highway 87 Lubbock, TX 79423 ",Lubbock,TX,79423
" 2 story in Hillsborough meets CORNER lot!!! Spacious home ready for you to move in, tons of kitchen/dining space with open layout. Large living room with brick fireplace, perfect for these winter nights! Natural lighting. HUGE master bedroom with walk in closet, master suite with whirlpool tub, double sinks and tons of space. Fully fenced in, flat backyard with composite deck and patio. 3.5 car garage for added extra space for tools, workbench, etc! Make an appt today! ","$284,900 ","2,205 sqft",-96.12322,41.302773,4,3,2002," 4804 N 134th Ave Omaha, NE 68164 ",Omaha,NE,68164
" Clubhouse is 15,000 sq. ft. including complementary Wi-Fi, interior/outdoor event space, fire table, contemporary lounge, fireplace, coffee bar, state of the art fitness center, and open air sundeck. The outdoor area of the clubhouse includes a 4500 sq. ft. pool with junior-size Olympic lab lanes, two hot tubes, BBQ area, fire table and private cabanas. This home provides urban living with a resort-style community. Disclaimer: Photos are images only and should not be relied upon to confirm applicable features. ","$1,195,990 ","1,688 sqft",-121.912766,37.526585,2,2,," 2348 Kinetic Cmn #104 Fremont, CA 94539 ",Fremont,CA,94539
" Spacious 1Bed/1.5Bath in rarely available Brisas Del Mar on North Beach. Perfect for owner occupants or seasonal investors. Tastefully updated kitchen with Granite Countertops, Custom Wood Cabinetry, Dishwasher & SS Fridge. Guest Bathroom. Oversized Walk in closet. Secured Entry to Lobby & Gated Covered Parking. Two Blocks from Beach. Property management well kept, Building Exterior, Lobby and Community Room recently painted and new tile in hallways. Building equipped with Swimming Pool, balcony & Hurricane Shutters. 40 Year Cert. complete until 2027 & Low HOA fees. ","$255,000 ",800 sqft,-80.12275,25.862534,1,2,1976," 7705 Abbott Ave #303 Miami Beach, FL 33141 ",Miami Beach,FL,33141
" Popular Commons III Model now move-in ready at Clearwater! Upscale condos in award-winning neighborhood, offering a rare combination of luxury & convenience. Inside... 42'' maple cabinets, stainless appliances, vaulted ceilings. Outside... professionally designed landscaping, paved walkways & mountain views nestled along the bank of Chester Creek. Close to everything yet feels like a world away! ","$250,000 ","1,204 sqft",-149.73648,61.207916,2,2,2019," 1460 Shallow Pool Dr #K4 Anchorage, AK 99504 ",Anchorage,AK,99504
" This charming one-story residence will impress from the moment you enter. New flooring, vaulted ceilings, and numerous skylights that capture every essence of daylight. The master suite features new carpet, full bath, and access to the back patio. The spacious kitchen has great updates like new stainless steel appliances, a new microwave, granite counters, and attractive tile backsplash. Outside a gorgeous deck sits below towering oak trees, a perfect place to relax or entertain. Clean and move-in ready. ","$216,900 ","1,097 sqft",-98.53131,29.568316,2,1,1983," 13623 High Chapel San Antonio, TX 78231 ",San Antonio,TX,78231
" Hurry to this amazing deal on a quiet street in Sylmar. House needs TLC but has great bones! Original hardwood flooring under carpet, central air and heat, spacious bedrooms, large expanded living room with fireplace, original kitchen has been enlarged and has tons of cabinets and adjacent office/pantry area. Recent plumbing improvements including copper piping. Large laundry room with direct access to 2 Car Garage. Nice size yard, has great potential; with patio area and fruit trees. Great location central to all. Easy access to the 210 and 405 Freeways. Come make this gem your own! ","$449,000 ","1,470 sqft",-118.44549,34.30077,3,2,1957," 14352 Raven St Sylmar, CA 91342 ",Sylmar,CA,91342
" Beautiful 3bd home with large backyard. Newly remodeled floors, restrooms, and kitchen. This home is updated with new appliances and more. Ready for a new family. Must see! ","$182,000 ","1,118 sqft",-98.521805,29.490257,3,2,1950," 146 Cliffwood Dr San Antonio, TX 78213 ",San Antonio,TX,78213
" location, location.**..beautiful townhouse 3 bd. 2 1/2 bath,** big courtyard **all appliances,** no carpet,** wood flooring,** tiles **, big rooms,** walking closets in every room** spacious living room & dining room**, close to the community pool & parks,** 8 min. to the strip, **15 min. to the airport** ","$248,000 ","1,523 sqft",-115.26536,36.110203,3,3,1996," 7986 Lisa Dawn Ave Las Vegas, NV 89147 ",Las Vegas,NV,89147
" LIKE NEW!! Centrally located near I-30 and Loop 12; major freeways going to Arlington, Irving & close to the downtown area. There are lots of retail & restaurants within a mile radius. This home has been well maintained with added features. The floor plan is open to the kitchen for family & friend gatherings, large front yard with added enclosed space for child play or or pet play. The home features 3 bedrooms, 2 baths, with an upgraded rain shower head & upgraded faucet fixtures in the master bath & a tankless eco smart water heater & blinds included thru out. Entry access has keyless door pad lock. There is laminate flooring thru out the home & nice natural lighting. Please stop by & see for yourself! ","$185,000 ","1,250 sqft",-96.90847,32.76912,3,2,2015," 5517 Fannie St Dallas, TX 75212 ",Dallas,TX,75212
" 733 prospect avenue ( woodstock ) bronx ny 10469 17 unit building ( 17 apartments ) occupied bs : 37 x 77.5 ft ls : 37 x 87 ft zoning ; r6 yb ; 1906 price ; $2.5 million ( all cash deal ) *Number of beds, bathrooms and rooms are to be re-examined ","$2,500,000 ","10,440 sqft",-73.902985,40.81723,17,10,1906," 733 Prospect Ave Bronx, NY 10455 ",Bronx,NY,10455
 New Roof (5) years old. New windows through the house. Transferable (life time) guarantee to new owner. ,"$80,000 ","1,620 sqft",-78.807014,42.873352,5,2,1910," 308 Cable St Buffalo, NY 14206 ",Buffalo,NY,14206
" Great Triplex in excellent area of Los Angeles. Front house is very spacious and front facing 1 bedroom, 1 bath with spacious driveway for 3 cars; the other 2 units in the middle are facing sideways and each one is 1 Bedroom, 1 Bath with plenty of parking for 4 cars in the back. There is another room in the back with permits. Property appears to be in good general condition. Buyer to verify any and all information and data. ","$499,000 ","1,449 sqft",-118.27913,34.00898,3,3,1923," 328 W 41st St Los Angeles, CA 90037 ",Los Angeles,CA,90037
" Investor and homebuyer opportunity! This property is being offered at a live auction on 01-14-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 204 scheduled for sale at this same auction. Altogether, Auction.com has 119 properties scheduled for sale in Orange County and 1377 throughout Florida. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2885347 into the search bar at Auction.com. ","$140,119 ","1,036 sqft",-81.421974,28.488447,2,2,2003," 3583 Conroy Rd #1133 Orlando, FL 32839 ",Orlando,FL,32839
" great location with new building all thru the subdivision. this home is being sold for lot value only so please don't disturb occupants. 8,125 square foot lot. convenient to shopping & movie theaters & zoned to great school district. motivated sellernever flooded!! ","$350,000 ",899 sqft,-95.46541,29.794266,2,1,1948," 6517 Westview Dr Houston, TX 77055 ",Houston,TX,77055
" Massive, stunning renovation w/ over 3000sqft above grade in Wilson Heights! One of the largest homes in the area. This 7BR/4BA traditional home is located on a corner lot w/ a wraparound porch and off-street parking. Main level features hardwood floors, a spacious living room w/ a separate office, open DR/KIT concept and main level bedroom. Large master suite w/ walk in closet and stone floor stand-up shower located on the 2nd level w/ 2 additional spacious bedrooms. Washer/dryer also conveniently located on 2nd level. 3rd floor consists of 3 more bedrooms and separate full bathroom. All bedrooms contain new carpet and recessed lighting. The home also boasts all new plumbing, electrical, roof and HVAC. Located in close proximity to downtown Baltimore, Lake Montebello, and Clifton Park Golf Course! Schedule a tour today! Refrigerator to be installed ","$299,900 ","3,080 sqft",-76.56376,39.336094,7,4,1900," 4508 Luerssen Ave Baltimore, MD 21206 ",Baltimore,MD,21206
" Soaring ceilings and abundant natural light in guard gated 7600 Lincoln. Beautiful hard-wood flooring, alder cabinetry, twelve foot ceilings, floor to ceiling glass and a cozy fireplace create a feeling of warmth and traditional elegance. The epicurean kitchen features a solid walnut island, farm sink, and all stainless appliances. The master is spacious and bright with a spa like bath with dual vanities, shower and soaking tub. The backyard is private with mature trees and a built in BBQ. The community features tennis courts, heated pool and spa, a Ramada ideal for entertaining and tons of green space for morning and evening walks. The ideal Scottsdale location with close proximity to Fashion Square, Old Town and all of the most delicious restaurants and shopping favorites. ","$749,900 ","1,872 sqft",-111.918846,33.534027,2,2,1993," 7526 E Krall St Scottsdale, AZ 85250 ",Scottsdale,AZ,85250
" Located in highly desirable Mission Terrance. Large house with lots of privacy, the property offers ample parking space that can be access from rear of the property, freshly painted with gusto including a complete renovated bathroom. The addition has a wet-bar with hookups for a kitchenette. The lower floor can be a game room or a large bedroom which includes a full bath and office space, large attic can be a bonus room. Near newly renovated Balboa park, tennis courts, playground, dog park and skate board park. BART, MUNI, easy access to 101 & 280 freeways, Whole Foods, Canyon Market and Mission Street bodegas, and restaurants. ","$1,450,000 ","2,771 sqft",-122.439575,37.7255,4,3,1913," 119 Otsego Ave San Francisco, CA 94112 ",San Francisco,CA,94112
" Amazing opportunity to own a meticulously mainted home , centrally located just west of Schenley park area in miami. This quaint home has 3 bedrooms , one full bath , and a half bath. The spacious yard offers plenty of space for future expansion, if desired. Tiled, covered porch offers perfect space for relaxing and entertaining. A wonderful opportunity awaits the new owners in this warm, loving home. ","$478,000 ","1,256 sqft",-80.300446,25.745935,3,2,1960," 6450 SW 26th St Miami, FL 33155 ",Miami,FL,33155
" Own It Now: Please visit buildingdetroit.org and search for property address to view full listing details. This is sold through the Detroit Land Bank Authority's Own It Now program. Sale period beings on December 9, 2019 and will be for sale until an offer is received, or its sale period expires. Sale dates are subject to change. If you have any questions, please call 313-974-6869. PUBLIC NOTICE PROPERTY OWNED BY THE DETROIT LAND BANK AUTHORITY IS NOT OPEN TO THE PUBLIC. ACCESS TO OR ENTRANCE UPON SUCH PROPERTY WITHOUT THE WRITTEN CONSENT OF THE DETROIT LAND BANK AUTHORITY CONSTITUTES TRESPASS AND IS A VIOLATION OF MICHIGAN LAW. TRESPASSERS MAY BE SUBJECT TO CIVIL AND CRIMINAL PENALTIES. ","$1,000 ","2,576 sqft",-83.114044,42.36251,6,2,1914," 3775 Virginia Park St Detroit, MI 48206 ",Detroit,MI,48206
" Dont miss the chance to see this adorable Alaskan home. This secluded log home is nestled away from the hustle and bustle, but just close enough for an easy commute. Upstairs you will find an open kitchen,dining,living space, 2 bedrooms and a bathroom. Downstairs has been turned into a fully functional mother-in-law apartment. Separate entrance, kitchen, laundry and bathroom. New carpet throughout ","$305,000 ","1,924 sqft",-149.47636,61.386032,3,2,1971," 21808 Robin Dr Chugiak, AK 99567 ",Chugiak,AK,99567
" Welcome to this wonderfully rehabbed, move-in-ready townhouse in the heart of Virginia Beach. Home now features brand new 30 year architectural roof, new gutters and downspouts, new 6 panel exteriordoor unit, new front storm door, fresh paint throughout(inside and out), brand new picture window, new light fixtures, all new flooring throughout, new 30 electric smooth top stainless range, new garbage disposal, complete vanity replacement, new white builders grade tub and surround upstairs, new 50 gallon electric hot water heater, and the list goes on! Don't miss this beauty! Make sure to ask about the 3D True Immersive Virtual Tour. This technology allows you to literally walk through the home on any mobile device, laptop or desktop. You can measure rooms, view 3D dollhouse, view exterior, and interior and so much more. Check it out today! To help visualize this home's floorplan and to highlight its potential, virtual furnishings may have been added to photos found in this listing. ","$174,900 ","1,578 sqft",-76.16849,36.83616,3,3,1977," 5332 Commons Ct Virginia Beach, VA 23462 ",Virginia Beach,VA,23462
" Desirable Pepper Mill pool home that can be easily converted into a 4 bedroom! Greater Homes Cinnamon model which 2nd bedroom was opened as Living room and an addition was made for 3rd bedroom. New roof 2019, New gas HVAC 2019, Re-pipe 2019, New Gas Water Heater. Natural gas stove for cooking. Lovely screened pool patio area great for entertaining. ","$269,000 ","1,715 sqft",-81.406586,28.390179,3,2,1982," 12124 Clove St Orlando, FL 32837 ",Orlando,FL,32837
" Classic American Homes THE BOSTON, Plan E5531S. A beautiful 1-story home with 3 bedrooms, 2 full baths, 2 living areas, granite counter tops in a large kitchen with a bar, ceramic tile, refrigerated a/c, and much more. Pictures are of the proposed floor plan. ","$145,950 ","1,553 sqft",-106.27708,31.647367,3,2,2020," 11605 Flor Zabila Pl Socorro, TX 79927 ",Socorro,TX,79927
" Handyman special!!! Large home located in highland park area. It features 2 bedrooms 1 bathroom. Good size living room, kitchen and dining area. Detached garage. Needs TLC but priced way below assessed value. SOLD AS IS. ","$38,900 ","1,027 sqft",-93.63108,41.627937,2,1,1897," 1007 Euclid Ave Des Moines, IA 50313 ",Des Moines,IA,50313
 The Fullerton from our Watermill Collection features an open concept living space with 3 bedrooms and 2 baths. Guests are greeted by a lovely foyer that opens up to the main living area. The gorgeous kitchen features granite countertops and overlooks the family room. The master suite is nestled in the corner of the home for optimum privacy and boasts a spacious master bath and large walk-in closet. A two-car garage completes this beautiful home. ,"$177,999 ","1,217 sqft",-98.61107,29.357624,3,2,," 5762 Sunset Point San Antonio, TX 78242 ",San Antonio,TX,78242
" Nice property with 3/2 and pool, very good area and neighborhood(central) the dryway is new, the refrigerator has 1year and have/the air conditioner,kitchen, laundry everything is good! The kitchen is renovated!!The property have hurricane shutters! Is by owner preferably without a realtors! Call 786-227-2737 leidy thanks ","$427,000 ","1,302 sqft",-80.41787,25.745571,3,2,1985," 2349 SW 138th Ave Miami, FL 33175 ",Miami,FL,33175
" Stunning custom home in exclusive gated Terraces on Memorial (Energy Corridor). Open floor plan, with numerous upgrades. Upgraded 20'' tile throughout entry, kitchen and den, hardwood floors in all bedrooms. Gourmet kitchen with oversized custom island, upgraded granite & cabinets with marble stone backsplash. LED recessed lights in den, kitchen and master bedroom. Covered patio and newly built wooded deck in backyard with Hot Tub. This is a must see! ","$596,000 ","2,835 sqft",-95.64273,29.766306,3,3,2010," 14534 Tivoli Dr Houston, TX 77077 ",Houston,TX,77077
" welcome to prestigious todt hill where privacy meets serenity!! totally renovated mediterranean style custom home with two story entry, perfect for entertaining, complete with gourmet kitchen , formal living room and dining room, and a fabulous family room with fireplace and access to yard. 5 bedrooms including a separate maids quarters with full bath. master suite includes a walk in closet, spa-like bath equipped with radiant heat. fully finished lower level with radiant heat and access to yard with heated pool and spa. new roof and heating system. plenty of off- street parking and minutes to expressway for easy commute. ","$1,599,000 ","4,334 sqft",-74.10473,40.603104,5,5,1984," 458 Ocean Ter Staten Island, NY 10301 ",Staten Island,NY,10301
 Attn Investors!! Great income potential!! Home can be sold individually or as part of a bulk sale of currently rented properties in Detroit. No showing until after accepted offer per the MLS. Drive By Only. Do NOT disturb tenants. Access will be provided after acceptance. Buyer to pay $395 to Re/Max First. No exceptions. ,"$32,500 ",911 sqft,-82.98588,42.44115,3,1,1949," 13526 Tacoma St Detroit, MI 48205 ",Detroit,MI,48205
" SELLER MOTIVATED!!! BRING OFFERS!!! Enjoy your mornings sitting at your spacious balcony watching the yachts cruise up and down the Intracoastal waterway. This lovely 2 bedroom, 2 bathroom, split floor plan unit is located on the first floor of WATERVIEW CONDO Complex. You'll never have to worry about waiting for an elevator to get home, or carrying groceries far. Valet parking is available for your guest. With a little TLC this unit would be the perfect place for a young professional, or retired couple wanting to enjoy the luxurious lifestyle that living in Aventura has to offer. With plenty of boutique shops, high-end restaurants, and the ocean near by. Pool, BBQ Area, & Fitness Center on site. AS-IS Contracts, POF for cash offers. Contact LA for appointments. ","$295,000 ","1,146 sqft",-80.12541,25.966698,2,2,1982," 20515 E Country Club Dr #145 Aventura, FL 33180 ",Aventura,FL,33180
" This studio condo is located in the beautiful Chastleton Cooperative and offers gleaming hardwood flooring throughout and updated kitchen and bath. THIS IS A FANNIE MAE HOMEPATH PROPERTY. First time Buyers, complete the Homepath Ready Buyer homeownership course and request up to 3% closing cost assistance. Restrictions apply. ","$249,900 ",280 sqft,-77.035835,38.913033,,1,1920," 1701 16th St NW #210 Washington, DC 20009 ",Washington,DC,20009
" noble square/east village presents the walton,new construction development built and designed w/distinction by award winning noah properties&axios architects.this amazing top floor condo offers interior roof access & private,roof deck over rntire unit with spectacular city views ,front balcony overlooking tree lined street and one car garage.this extra wide,open floor plan unit will feaure a gorgeous pro-kitchen with custom designed cabintes,quartz counters & high end appliance package,master bedroom suite with huge walk in closet,spa-like bath with double vanity, steam shower & soaking tub,designer tiles and lighting.unprecedented style &design with immaculate attention to details.located to expressway, restaurants & night life.much bigger than average 3 bed units in the area*unit has bonus room w/wet bar&huge pvt deck w/amazing views!**** pictures are from the model in the development***only 1 unit left like this** project is 80% sold*** ","$749,900 ",,-87.66139,41.899124,3,2,2020," 1346 W Walton St #3W Chicago, IL 60642 ",Chicago,IL,60642
" Well kept 4-Family brownstone in sought after Bed-Stuy area. This four family jewel boasts: HVAC, granite counter tops, stainless steel appliances, hardwood floors throughout, common area laundry room, ample & private storage spaces in the basement for every unit, separate utilities, 5-water heaters, 5-gas meters, 5-electric metes, sprinkler system, sensor operated hallway-lights, nice patio area private for the Apt 1, all other apartments have terraces. ","$1,990,000 ","3,840 sqft",-73.93328,40.686474,6,5,1899," 626 Madison St Brooklyn, NY 11221 ",Brooklyn,NY,11221
